study,seed,wr,burn_mult,thr,exit_z,block_h,min_n,epd,dust,cad,cool,stat,gamma,tau,join_day,cleared,clear_day,steady_share,sk_paid_pd,sk_trades,noise_paid_pd,mom_ev_pd,noise_passes,noise_pass_epochs,entries,quits,rereg,eq_crowd,unalloc_steady
wr,0,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,25.5,0.9800000000000002,676.966436799839,196,13.611063199938489,-0.009065759718479637,0,0.0,48,47,0,0.9329608938547486,1.193954928716998e-17
wr,1,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,71.5,0.98,631.8616623551766,195,13.485004311287591,0.004704827722364739,0,0.0,48,47,0,0.9329608938547486,-1.3076649219281406e-17
wr,2,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.6123736308964874,571.1974689203905,198,109.2500310795111,2.2635910466232088,2,9336.0,48,47,0,0.9329608938547486,9.189834905882348e-17
wr,3,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.6485973492591482,571.8538150560486,197,108.35701827725549,1.6328861677519528,2,14376.0,48,47,0,0.9329608938547486,5.830221470098587e-17
wr,4,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.5964666148427249,571.5183167960705,195,115.59918320388047,2.2111989953020066,2,14376.0,48,47,0,0.9329608938547486,6.621022786521534e-17
wr,5,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9527846531629739,646.74327032027,194,40.374229679577425,0.5754715471833457,1,5592.0,48,47,0,0.9329608938547486,1.0319181883911197e-16
wr,6,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9799732434666851,638.2048905991489,195,48.90927606745824,0.760474795041973,1,10632.0,48,47,0,0.9329608938547486,9.742878963772905e-17
wr,7,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,22.0,0.6568913293877336,622.4413737019847,196,71.45612629786267,1.2467975475938047,1,3744.0,48,47,0,0.9329608938547486,1.591939904955997e-17
wr,8,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.6272202852399741,574.5078405091336,196,112.55632615746785,1.8265473845694447,2,14376.0,48,47,0,0.9329608938547486,3.876477041288954e-19
wr,9,0.6,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.7098513500470554,571.8583422267483,196,94.03832443989327,1.6687852603218516,2,14376.0,48,47,0,0.9329608938547486,5.483922854410108e-17
wr,0,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,25.5,0.9800000000000002,676.966436799839,195,13.611063199938489,-0.009065759718479637,0,0.0,48,47,0,0.9329608938547486,1.3774415086713418e-17
wr,1,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9800000000000002,673.4327225111275,195,13.618110821984837,0.0069214597405366785,0,0.0,48,47,0,0.9329608938547486,-1.5945242229835233e-17
wr,2,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.640452700914795,579.7364452495628,195,100.71105475031965,2.0602820864043645,2,9336.0,48,47,0,0.9329608938547486,9.11747400111162e-17
wr,3,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.6754661222502488,587.1367675293446,196,99.86406580398625,1.486455952695586,2,14376.0,48,47,0,0.9329608938547486,4.817168803308407e-17
wr,4,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.6439811234125216,582.481198093312,195,104.63630190667007,1.9729098988862923,2,14376.0,48,47,0,0.9329608938547486,6.391018482071722e-17
wr,5,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9539088602055106,647.6495020353808,195,39.46799796448546,0.5557708577248247,1,5592.0,48,47,0,0.9329608938547486,1.0598288230884002e-16
wr,6,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9799755946981521,640.8448299175369,195,46.32267008245175,0.7042802849325281,1,10632.0,48,47,0,0.9329608938547486,1.0603456866939053e-16
wr,7,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,22.0,0.6699995852488557,624.7877515011254,195,69.10974849872291,1.1957893345690271,1,3744.0,48,47,0,0.9329608938547486,1.6694694457817763e-17
wr,8,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.6696135930018609,584.1463693119749,196,102.91779735466704,1.6480561104435043,2,14376.0,48,47,0,0.9329608938547486,-1.1215940239462709e-17
wr,9,0.65,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,47.0,0.7130239649098484,581.1786441722198,195,88.21802249445282,1.5475289697918424,2,14376.0,48,47,0,0.9329608938547486,5.876739194594055e-17
