seed,skin,bond,adversary,breakw,sk_w,empty,gate_z,sk_policy,sk_topups_tao,sk_swept_tao,sk_ruin_weeks,clear_day,steady,sk_em_pd,sk_pre_clear_pd,sk_settle_tao,sk_net_tao,leak_pct,adv_ev_tao,adv_settle_tao,adv_stake_now,passes,entries,adv_entry_mean,adv_entry_min_frac,crowd
0,cleared_only,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,12.92793107563298,10.541231625473579,0,25.5,0.98,676.966436799839,0.27643680006159216,-2.3866994501593917,1270.3102017335377,1.901097112253528,0.037005461561096575,0.049722905211653984,0.10278047216708337,0,48,1.0,1.0,0.9329608938547486
1,cleared_only,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,12.12572991944593,11.91601995829734,0,29.0,0.98,673.4327225111275,0.17272251134852842,0.04029003885140814,1266.093808359771,1.9020814742922427,-0.01328078759647977,-0.0008393758094043339,0.18013253624858783,0,48,1.0,1.0,0.9329608938547486
2,cleared_only,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,14.234367771910012,9.26929141131474,0,29.0,0.9777293682496622,670.5269673315705,0.341090931747365,-4.715076360595278,1255.875622222757,2.3242319969693104,0.20416753470606322,0.09823075751240162,0.12103662353276061,2,48,1.0,1.0,0.9329608938547486
3,cleared_only,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,13.615338720363631,11.157038589885374,0,29.0,0.98,673.4163074359748,0.15630743619582357,-2.458300130478241,1263.5643578491542,1.8973905693493818,0.03745776470804094,0.051214586051630005,0.13946439213920936,2,48,1.0,1.0,0.9329608938547486
4,cleared_only,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,8.159398920066863,9.849794563679893,0,22.0,0.9800000000000002,680.3347287204391,0.2147287206631422,1.9403956436130239,1280.9696856380383,1.8943520380846528,-0.05503378644939042,-0.04042490924193803,0.11614775855883312,2,48,1.0,1.0,0.9329608938547486
0,always,1.5,aware,False,0.7,False,1.25,f0.03+refill+sweep,15.176035792375338,143.4957637928544,0,25.5,0.98,676.986524290672,0.29652429089457644,128.31972800047907,1401.0543936669421,1.3635768900571945,-3.057708907858315,-2.6733276666766463,0.41082350831796854,0,48,15.0,0.0,0.9329608938547486
1,always,1.5,aware,False,0.7,False,1.25,f0.03+refill+sweep,12.895838814296447,143.95047868871546,0,29.0,0.98,673.4509979552791,0.1909979555001459,134.80463987441902,1400.8925160303436,1.3878603798404519,-3.193932559680798,-2.8084299973837292,0.4054450362485878,0,48,15.0,0.0,0.9329608938547486
2,always,1.5,aware,False,0.7,False,1.25,f0.03+refill+sweep,17.602026369259317,130.99321297861675,0,29.0,0.9778110013811953,670.6019018312871,0.3536486851045959,117.14118660935742,1377.872762052177,1.8534269687829945,-2.6747526068903835,-2.4404413876949467,0.35892005513030956,2,48,15.0,0.0,0.9329608938547486
3,always,1.5,aware,False,0.7,False,1.25,f0.03+refill+sweep,18.144825888821767,151.0463753082105,0,29.0,0.98,673.4222518774849,0.16225187770588426,132.9015494193887,1398.9353829490599,0.5953905309611733,-3.302327476329857,-2.7687822795705976,0.4520890837870924,2,48,15.0,0.0,0.9329608938547486
4,always,1.5,aware,False,0.7,False,1.25,f0.03+refill+sweep,10.738071062129823,146.1821108735486,0,22.0,0.98,680.3519883173373,0.23198831756138505,139.19403981141875,1418.2557778480127,1.148648550186374,-3.37469032644567,-2.8998758294045572,0.33967588612890326,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,naive_whale,False,0.7,False,1.25,f0.03+refill+sweep,14.721296579253007,333.6162030526566,0,25.5,0.98,676.9680098014372,0.2780098016598896,318.8949064734035,1591.5947649001055,1.3661628630633564,-6.806365993297933,-6.643643884862574,4.1375281758666524,0,48,33.0,0.0,0.9329608938547486
1,always,0.0,naive_whale,False,0.7,False,1.25,f0.03+refill+sweep,13.50874288121527,335.0214217319256,0,29.0,0.98,673.4327225111275,0.17272251134852842,329.7626788507103,1595.8161971716297,1.4276590800653561,-7.015533332287995,-6.870055809389799,4.000409240585401,0,48,33.0,0.0,0.9329608938547486
2,always,0.0,naive_whale,False,0.7,False,1.25,f0.03+refill+sweep,18.547081229964803,305.8795968931094,0,29.0,0.6824712484760367,617.7773260516495,0.34241683070697615,295.58251566314465,1457.0038886402456,9.23159037861789,-4.1150914878795675,-6.157969076315513,5.416929360015822,2,48,33.0,0.0,0.9329608938547486
3,always,0.0,naive_whale,False,0.7,False,1.25,f0.03+refill+sweep,18.861912207815692,356.81479334998244,0,29.0,0.98,673.4163074359748,0.15630743619582357,337.95288114216663,1603.975539121799,0.9818344964866512,-7.3111793451387355,-7.040685023795141,4.88371820885525,2,48,33.0,0.0,0.9329608938547486
4,always,0.0,naive_whale,False,0.7,False,1.25,f0.03+refill+sweep,11.488231296167932,338.3951816095396,0,22.0,0.98,680.3361551599893,0.2161551602133651,335.1569503133717,1614.1889220141513,1.1508600137047116,-7.205533155396189,-6.982436464861908,2.6800483191738835,2,48,33.0,0.0,0.9329608938547486
0,always,0.0,naive_whale,True,0.7,False,1.25,f0.03+refill+sweep,14.721296579253007,365.3089785453524,0,25.5,0.98,676.9680098014372,0.2780098016598896,350.5876819660993,1623.2875403928012,1.366162863063358,-7.466632149395761,-7.303910040960402,4.1375281758666524,0,48,33.0,0.0,0.9329608938547486
